,IXT NODROP,IXT CONV10,IXT MAX10,IXT FLAT10,IXT DENSE10,,IXT CONV20,IXT MAX20,IXT FLAT20,IXT DENSE20,,IXT CONV30,IXT MAX30,IXT FLAT30,IXT DENSE30,,IXT CONV50,IXT MAX50,IXT FLAT50,IXT DENSE50
0,,3.276960081,3.301762763,3.275458254,3.262620195,,3.218102532,3.167142256,3.300262504,3.271380557,,3.308263337,3.314794819,3.257525782,3.271380557,,3.263294156,3.303998904,3.208105403,3.258296357
1,,3.293455464,3.292635383,3.268366357,3.305253485,,3.288021403,3.317376691,3.306319292,3.317914545,,3.294860274,3.243901044,3.296071423,3.317914545,,3.27192199,3.310115494,3.297499809,3.32089316
2,,3.275606925,3.307841518,3.281538738,3.316501271,,3.268950898,3.317090201,3.316371321,3.301280154,,3.31638661,3.266561055,3.27068582,3.301280154,,3.306178825,3.315250732,3.31215928,3.314213725
3,,3.273349016,3.317503176,3.300528461,3.278172278,,3.297391392,3.287686526,3.287767715,3.3133977,,3.312906778,3.309725146,3.315082207,3.3133977,,3.289888829,3.309068556,3.308515659,3.292433536
4,,3.318983273,3.300960392,3.317189471,3.31992297,,3.309154789,3.303794253,3.29283116,3.310247278,,3.30687726,3.310230518,3.30617948,3.310247278,,3.313203455,3.305465216,3.298248432,3.312380338
5,,3.316549345,3.311482903,3.316610729,3.310381662,,3.312067778,3.316734633,3.286982253,3.306765215,,3.314684204,3.318191548,3.310913519,3.306765215,,3.300255713,3.316025974,3.309800139,3.316176456
6,,3.315101828,3.302637648,3.317177102,3.316704156,,3.309266548,3.306794018,3.283566801,3.311977899,,3.309244053,3.309437861,3.319147307,3.311977899,,3.317850641,3.315401443,3.311201081,3.3192212
7,,3.303399251,3.312337617,3.306077935,3.31796122,,3.3047871,3.31527209,3.316950577,3.311063681,,3.302874178,3.318224431,3.314770541,3.311063681,,3.301886588,3.312165746,3.318174527,3.308623525
8,,3.318003947,3.315286686,3.317223801,3.318002618,,3.311119544,3.314273984,3.301019616,3.319904576,,3.320309413,3.314008454,3.307707877,3.319904576,,3.316279674,3.31488268,3.307779912,3.316180575
9,,3.320700664,3.312177654,3.315566049,3.318651372,,3.312211491,3.305909116,3.319208942,3.304497318,,3.314018791,3.314610227,3.319293122,3.304497318,,3.319436664,3.309421986,3.309894481,3.311477986
10,,3.316106018,3.316037286,3.316598432,3.315886882,,3.314638535,3.316467444,3.31462326,3.308597645,,3.318035192,3.316258565,3.31391281,3.308597645,,3.308836564,3.319888722,3.318918237,3.316128751
11,,3.312287267,3.318421491,3.313123175,3.315701743,,3.315550576,3.31529548,3.313135832,3.317985611,,3.316413901,3.313363868,3.311464567,3.317985611,,3.311440168,3.309134939,3.314964229,3.309767529
12,,3.317095077,3.313812848,3.30833029,3.30895948,,3.316083769,3.308134316,3.314602369,3.317525406,,3.315426315,3.320289406,3.318396121,3.317525406,,3.314644223,3.311469476,3.318254443,3.309154801
13,,3.315157227,3.310262023,3.310405334,3.27318685,,3.317837751,3.315641453,3.319001329,3.299334772,,3.319081937,3.314490896,3.313589812,3.299334772,,3.298565122,3.317100515,3.319445139,3.312898867
14,,3.304237604,3.311333258,3.30905625,3.316961998,,3.309976109,3.305442672,3.315696771,3.313107261,,3.305880182,3.31969385,3.303516421,3.313107261,,3.318529206,3.314183321,3.315447534,3.318628116
15,,3.310705964,3.316555741,3.315416548,3.308263536,,3.317506335,3.316059979,3.316641821,3.311960751,,3.319603285,3.316353829,3.312231614,3.311960751,,3.308239468,3.311415477,3.315831948,3.31381996
16,,3.316459584,3.319089065,3.314797436,3.310251877,,3.317664516,3.319200657,3.310346946,3.31359589,,3.304200331,3.311446548,3.315451402,3.31359589,,3.317667463,3.31168904,3.315242067,3.317887461
17,,3.31903521,3.312451657,3.317295689,3.319228139,,3.310969053,3.316792186,3.319283419,3.3102486,,3.310734513,3.31375602,3.318851562,3.3102486,,3.313657202,3.312303541,3.319536308,3.318793284
18,,3.317094147,3.317566304,3.314662101,3.306261041,,3.318470402,3.31903521,3.317813682,3.312444443,,3.317091528,3.316411568,3.312034785,3.312444443,,3.319806991,3.313940858,3.313946761,3.311665717
19,,3.318448497,3.318338288,3.310165709,3.316333244,,3.312092164,3.298359254,3.315272352,3.315912753,,3.317167462,3.318024613,3.31178281,3.315912753,,3.317381633,3.310465321,3.319519184,3.318738085
20,,3.312915304,3.31565006,3.317704746,3.316404048,,3.318788555,3.316175493,3.315023001,3.31763786,,3.318355116,3.309312545,3.317586307,3.31763786,,3.313556448,3.317501192,3.313798627,3.312918981
21,,3.316179304,3.307094195,3.31708442,3.318563488,,3.316190356,3.318320156,3.318533367,3.268549089,,3.320416935,3.313238416,3.316857684,3.268549089,,3.317437603,3.316422217,3.316964587,3.318827074
22,,3.318042118,3.31588687,3.313439283,3.318876248,,3.316904653,3.317724807,3.317892757,3.315048403,,3.311094143,3.316934297,3.313244622,3.315048403,,3.31383784,3.304801076,3.315980095,3.295774694
23,,3.319548987,3.317649417,3.313441024,3.31773303,,3.319162383,3.314847592,3.319139681,3.315246521,,3.313459145,3.31973184,3.319181409,3.315246521,,3.319228511,3.314147348,3.318597185,3.317036006
24,,3.319112485,3.313088248,3.314331454,3.317397488,,3.31939837,3.316251796,3.317532791,3.309436482,,3.316806561,3.319250281,3.316215908,3.309436482,,3.317801382,3.312826791,3.317136052,3.318953673
25,,3.317176895,3.31659818,3.31311868,3.314531014,,3.308811963,3.318634158,3.309835847,3.31175851,,3.316842145,3.317925315,3.318525909,3.31175851,,3.317086125,3.311868398,3.318350904,3.319026427
26,,3.316558811,3.316103791,3.319778507,3.3199644,,3.316471735,3.317285313,3.317650148,3.310957988,,3.319310383,3.319918589,3.317597385,3.310957988,,3.310277626,3.317466401,3.31562399,3.290972335
27,,3.31434455,3.313172101,3.313065942,3.318629902,,3.315429024,3.316102991,3.313527177,3.312603577,,3.311479908,3.315876707,3.316401994,3.312603577,,3.316189277,3.31747118,3.314505341,3.317994041
