Epoch,IXT 3x3,IXT 5x5,IXT 7x7,IYT 3x3,IYT 5x5,IYT 7x7
0,3.241502631,3.215078099,3.121481581,2.503819257,2.513764561,2.327943503
1,3.28994458,3.301559789,3.280677283,2.648981205,2.532835509,2.628733829
2,3.308782572,3.305636462,3.310734251,2.685771945,2.654914005,2.665812712
3,3.306300835,3.297314345,3.285901261,2.702380439,2.775536328,2.801629064
4,3.299947025,3.303855875,3.313402415,2.784464113,2.823925013,2.847257875
5,3.310416306,3.301322373,3.306442498,2.779049483,2.85886318,2.915411745
6,3.303203813,3.31198513,3.273652531,2.870912689,2.910235086,2.961892357
7,3.307719547,3.318205986,3.318998011,2.860799535,3.001118328,3.062328523
8,3.315965152,3.312099495,3.313294224,2.929559342,3.044013985,3.08024001
9,3.312825898,3.318368093,3.315245006,2.97875991,3.016912647,3.141130247
10,3.31801579,3.318367696,3.311654323,2.942840959,3.131231295,3.17221671
11,3.317633018,3.320054362,3.316238773,3.01205238,3.120594463,3.1856348
12,3.318869902,3.316301503,3.317052104,3.112896731,3.198014624,3.26749628
13,3.315709254,3.317100903,3.315759565,3.074256708,3.259503723,3.241864763
14,3.315075938,3.316688875,3.316167434,3.132810448,3.216933729,3.308947539
15,3.307606453,3.316841437,3.31715087,3.179634543,3.278255042,3.270764347
16,3.318060239,3.317462578,3.317747602,3.179724324,3.286878906,3.217499212
17,3.31166771,3.316349479,3.317177489,3.149277252,3.285060184,3.316841437
18,3.313185046,3.316841437,3.318671075,3.225855945,3.300989151,3.303037246
19,3.306254884,3.317177489,3.316841437,3.240830041,3.292914467,3.316841437
20,3.315197006,3.317032783,3.316841437,3.300811363,3.316841437,3.316841437
21,3.317337299,3.316841437,3.316841437,3.206712938,3.296638807,3.316841437
22,3.316411876,3.316841437,3.317177489,3.18798371,3.316841437,3.308836507
23,3.317788871,3.314462837,3.316841437,3.268496769,3.316841437,3.316841437
24,3.316362664,3.317376514,3.316841437,3.316841437,3.259808808,3.316841437
25,3.315688536,3.316841437,3.316841437,3.296638807,3.316841437,3.278288382
26,3.316015029,3.316841437,3.298969793,3.316841437,3.316841437,3.235359113
27,3.316841437,3.316477094,3.316841437,3.316841437,3.316841437,3.316841437
28,3.316841437,3.316477094,3.316841437,3.316841437,3.316841437,3.316841437
29,3.316841437,3.316841437,3.316841437,3.293883919,3.316841437,3.316841437
30,3.3187498,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
31,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
32,3.31659332,3.316841437,3.315259476,3.316841437,3.316841437,3.316841437
33,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
34,3.316841437,3.316841437,3.31682701,3.316841437,3.316841437,3.308705261
35,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
36,3.316841437,3.318435431,3.316841437,3.316841437,3.316841437,3.316841437
37,3.316841437,3.316841437,3.31682701,3.316841437,3.316841437,3.308747697
38,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
39,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.297229954
40,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
41,3.316841437,3.316841437,3.317177489,3.316841437,3.316841437,3.316841437
42,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
43,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
44,3.316841437,3.316841437,3.316841437,3.308947539,3.316841437,3.316841437
45,3.316841437,3.316841437,3.309107773,3.316841437,3.316841437,3.316841437
46,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
47,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
48,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
49,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
50,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
51,3.316937122,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
52,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
53,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
54,3.316841437,3.317177489,3.316841437,3.316841437,3.316841437,3.316841437
55,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
56,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
57,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
58,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
59,3.316841437,3.316841437,3.316841437,3.316841437,3.308747697,3.316841437
60,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
61,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
62,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
63,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
64,3.316841437,3.316958676,3.316841437,3.316841437,3.316841437,3.316841437
65,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.30090898
66,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
67,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
68,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
69,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
70,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
71,3.316841437,3.316841437,3.313584692,3.316841437,3.316841437,3.316841437
72,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
73,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
74,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
75,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
76,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
77,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
78,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
79,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
80,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
81,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
82,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
83,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
84,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
85,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
86,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
87,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
88,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
89,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437,3.316841437
