,IXT D0,IXT D10,IXT D20,IXT D30,IXT D50,IYT D0,IYT D10,IYT D20,IYT D30,IYT D50
0,,3.301762763,3.167142256,3.314794819,3.303998904,,2.561621759,2.42195006,2.509082586,2.544451168
1,,3.292635383,3.317376691,3.243901044,3.310115494,,2.652132913,2.642575473,2.592664194,2.623762331
2,,3.307841518,3.317090201,3.266561055,3.315250732,,2.65883796,2.65901315,2.608926965,2.704393495
3,,3.317503176,3.287686526,3.309725146,3.309068556,,2.73892505,2.690125491,2.729963069,2.740427109
4,,3.300960392,3.303794253,3.310230518,3.305465216,,2.842410759,2.790185081,2.78171606,2.777418413
5,,3.311482903,3.316734633,3.318191548,3.316025974,,2.84520198,2.833969126,2.888849987,2.796574931
6,,3.302637648,3.306794018,3.309437861,3.315401443,,2.826418279,2.849782703,2.828940962,2.83298404
7,,3.312337617,3.31527209,3.318224431,3.312165746,,2.89149658,2.876670568,2.914754357,2.834913962
8,,3.315286686,3.314273984,3.314008454,3.31488268,,2.925295879,2.856095378,2.879946074,2.863894759
9,,3.312177654,3.305909116,3.314610227,3.309421986,,2.914728175,2.884022215,2.890986511,2.848532646
10,,3.316037286,3.316467444,3.316258565,3.319888722,,2.959978368,2.940815798,2.92888578,2.860491636
11,,3.318421491,3.31529548,3.313363868,3.309134939,,2.9691658,2.957429288,2.945849908,2.863075291
12,,3.313812848,3.308134316,3.320289406,3.311469476,,3.007659787,2.916029079,2.968474442,2.885913664
13,,3.310262023,3.315641453,3.314490896,3.317100515,,2.985965304,2.987474252,2.99074746,2.92431306
14,,3.311333258,3.305442672,3.31969385,3.314183321,,2.965829589,2.971012976,2.977837443,2.9129423
15,,3.316555741,3.316059979,3.316353829,3.311415477,,3.02077289,3.024271173,2.961306493,2.922013088
16,,3.319089065,3.319200657,3.311446548,3.31168904,,3.067119735,3.036200375,2.989151856,2.933719364
17,,3.312451657,3.316792186,3.31375602,3.312303541,,3.023563658,3.072753654,2.989225037,2.919009064
18,,3.317566304,3.31903521,3.316411568,3.313940858,,3.051198327,3.044845668,3.022718829,2.966868982
19,,3.318338288,3.298359254,3.318024613,3.310465321,,3.082943296,3.022531454,3.030785099,2.942958747
20,,3.31565006,3.316175493,3.309312545,3.317501192,,3.088835709,3.088664489,3.00709045,2.967395032
21,,3.307094195,3.318320156,3.313238416,3.316422217,,3.041486859,3.074843166,3.016540202,2.975731749
22,,3.31588687,3.317724807,3.316934297,3.304801076,,3.073516252,3.067006979,3.058286949,2.941882805
23,,3.317649417,3.314847592,3.31973184,3.314147348,,3.120123557,3.137600495,3.063460126,2.987047845
24,,3.313088248,3.316251796,3.319250281,3.312826791,,3.097665236,3.108292355,3.059666806,2.980289031
25,,3.31659818,3.318634158,3.317925315,3.311868398,,3.120665476,3.120525246,3.104722204,2.989943464
26,,3.316103791,3.317285313,3.319918589,3.317466401,,3.178021079,3.115892083,3.120576838,3.017506786
27,,3.313172101,3.316102991,3.315876707,3.31747118,,3.148497684,3.137127785,3.112078091,3.051944737
28,,3.313647959,3.318083484,3.317826376,3.31456639,,3.12615836,3.152164189,3.137690438,3.064087934
29,,3.313808914,3.304075337,3.31800661,3.311205595,,3.134220014,3.127021712,3.125002334,3.078285429
30,,3.314630073,3.316432724,3.313033293,3.312823972,,3.203635081,3.182068232,3.123941885,3.073253102
31,,3.315693164,3.316480883,3.319099768,3.31533493,,3.189762658,3.169891246,3.166728198,3.09228431
32,,3.319059105,3.316129637,3.318778761,3.314796291,,3.176259439,3.214063432,3.172221558,3.0521596
33,,3.311965916,3.319147092,3.318388392,3.318327302,,3.211574823,3.181157334,3.212454742,3.110367996
34,,3.318229538,3.316572779,3.317453855,3.316247275,,3.203319567,3.234303869,3.239580887,3.078051637
35,,3.317900285,3.317425741,3.318736854,3.315380171,,3.254721962,3.23747758,3.19963749,3.102137818
36,,3.317573495,3.314733027,3.313608401,3.314547626,,3.248841502,3.240990889,3.165021433,3.123018704
37,,3.316071553,3.316410672,3.316049852,3.318986233,,3.245918588,3.246452085,3.23267036,3.106261231
38,,3.317336448,3.316746245,3.318810948,3.317348538,,3.253375373,3.256436301,3.219890239,3.161915461
39,,3.317072192,3.316535909,3.317504364,3.318987592,,3.284907057,3.27038465,3.238302319,3.143917821
40,,3.316575603,3.316952804,3.316810523,3.315196108,,3.28457425,3.300989151,3.22659683,3.172936754
41,,3.314255456,3.3163305,3.317829793,3.319067157,,3.218647583,3.300398384,3.273681715,3.174646041
42,,3.317049874,3.316410672,3.316477094,3.318380982,,3.300878119,3.292504486,3.308534561,3.171140356
43,,3.315956774,3.316477094,3.316872632,3.317525289,,3.294210422,3.308534561,3.300789309,3.202659352
44,,3.316841437,3.316841437,3.317241979,3.314676103,,3.300909321,3.316841437,3.308947539,3.229499969
45,,3.314781903,3.316694844,3.316812726,3.31846515,,3.234811119,3.308705261,3.302639672,3.229822608
46,,3.316760365,3.315820916,3.316710525,3.318752406,,3.300893467,3.278224442,3.300746873,3.218599654
47,,3.315663249,3.316151363,3.316841437,3.316223247,,3.296638807,3.280119689,3.316841437,3.228140737
48,,3.316841437,3.316812726,3.316841437,3.316400895,,3.316841437,3.308733412,3.316841437,3.278424348
49,,3.316477094,3.316841437,3.316841437,3.316398171,,3.308534561,3.316841437,3.316841437,3.262448467
50,,3.316937122,3.316872632,3.316841437,3.317379638,,3.300853798,3.30888305,3.316841437,3.235349789
51,,3.316795874,3.317032783,3.316841437,3.316924092,,3.308806292,3.29786563,3.316841437,3.276644153
52,,3.316783726,3.316841437,3.316841437,3.316582299,,3.302639672,3.316841437,3.316841437,3.275328559
53,,3.316812726,3.316841437,3.316872632,3.317485314,,3.308733412,3.316841437,3.30888305,3.30290898
54,,3.316841437,3.31682701,3.316841437,3.316666132,,3.316841437,3.308747697,3.316841437,3.300597236
55,,3.316812726,3.316795874,3.316841437,3.31733695,,3.302639672,3.308806292,3.316841437,3.295078859
56,,3.316841437,3.316694844,3.317177489,3.317148998,,3.316841437,3.308705261,3.30888305,3.286969436
57,,3.316937122,3.316841437,3.316841437,3.316841437,,3.308947539,3.316841437,3.316841437,3.316841437
58,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
59,,3.316841437,3.316841437,3.316841437,3.317177489,,3.316841437,3.316841437,3.316841437,3.30888305
60,,3.316841437,3.316841437,3.316841437,3.317177489,,3.316841437,3.316841437,3.316841437,3.30888305
61,,3.31608439,3.316841437,3.316841437,3.316812726,,3.302215353,3.316841437,3.316841437,3.302639672
62,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
63,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
64,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
65,,3.316841437,3.316841437,3.316841437,3.316937122,,3.316841437,3.316841437,3.316841437,3.308947539
66,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
67,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
68,,3.31682701,3.316841437,3.316841437,3.316841437,,3.308747697,3.316841437,3.316841437,3.316841437
69,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
70,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
71,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
72,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
73,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
74,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
75,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
76,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
77,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
78,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
79,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
80,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
81,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
82,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
83,,3.316560574,3.316841437,3.316841437,3.316841437,,3.297536131,3.316841437,3.316841437,3.316841437
84,,3.316477094,3.316841437,3.316841437,3.316841437,,3.308534561,3.316841437,3.316841437,3.316841437
85,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
86,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
87,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
88,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
89,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
90,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
