1 Conv. Training,2 Conv. Training,3 Conv. Training,4 Conv. Training,5 Conv. Training,6 Conv. Training,1 Conv. Validation,2 Conv. Validation,3 Conv. Validation,4 Conv. Validation,5 Conv. Validation,6 Conv. Validation
0.74529624,0.725310028,0.911404192,0.957742333,1.04559052,0.930156648,0.569206715,0.488901913,0.613524318,0.56741178,0.61390835,0.594390869
0.430711061,0.408180565,0.467148721,0.522434294,0.553331733,0.538136959,0.393496066,0.370562553,0.42812857,0.47358039,0.453771472,0.52470386
0.360133737,0.338314384,0.369824946,0.407666415,0.448081195,0.435936004,0.369361907,0.395183891,0.366422147,0.414365262,0.481185913,0.419191331
0.316951394,0.297359437,0.320521533,0.349998713,0.373831213,0.371286362,0.314944476,0.320947468,0.313565433,0.396145344,0.356088489,0.393525124
0.288185,0.264012188,0.283817798,0.300672233,0.328726649,0.322301805,0.29269892,0.292072088,0.321788728,0.325492859,0.322376579,0.32740882
0.261570811,0.238021016,0.251028061,0.263362497,0.294290781,0.288100332,0.280688465,0.268352628,0.29461354,0.296793193,0.283720225,0.320959002
0.241025627,0.213946596,0.230299085,0.232496262,0.259511411,0.262008756,0.278302491,0.301820964,0.255517185,0.260864466,0.324509621,0.314026445
0.225929707,0.193257391,0.201400399,0.208768561,0.2377785,0.235795468,0.271576315,0.283095717,0.259727597,0.296061307,0.314227909,0.272422731
0.210732698,0.173799947,0.183510154,0.183196187,0.210531652,0.214802757,0.27812323,0.241922721,0.244454011,0.24824284,0.290860087,0.262974411
0.198026672,0.156173304,0.159470215,0.156611443,0.191858113,0.188222915,0.265875459,0.275351733,0.328352302,0.252375543,0.275391012,0.265300959
0.18550089,0.142051801,0.144381538,0.139373526,0.167914048,0.169256181,0.274518371,0.249518126,0.26319629,0.285761774,0.332170367,0.258153588
0.172659084,0.125064641,0.124185853,0.119726621,0.152168021,0.148088217,0.24615626,0.252968848,0.282573491,0.309775114,0.275852323,0.315121979
0.162182271,0.112534828,0.108304836,0.104720369,0.131614536,0.127557382,0.259837478,0.261367798,0.241235778,0.26637736,0.284028888,0.313785106
0.154114112,0.100931793,0.091692813,0.082661189,0.114660926,0.110922843,0.283788562,0.257042527,0.263178051,0.300807714,0.317507625,0.306609631
0.142956823,0.088806771,0.080441207,0.068887331,0.096578106,0.093265034,0.255744129,0.251135498,0.327567279,0.317145944,0.293709964,0.312851518
0.136876911,0.078201085,0.065791428,0.061430633,0.079715237,0.076953053,0.2384734,0.285938889,0.29714939,0.313781828,0.330971032,0.393858075
0.126345038,0.069444686,0.057855703,0.046683408,0.065636173,0.0647908,0.264879495,0.279833049,0.3106336,0.364901662,0.37671563,0.438292295
0.121746436,0.061771259,0.045692068,0.040443588,0.058315922,0.055778224,0.237937197,0.280384511,0.311814755,0.377905428,0.40244323,0.414833993
0.111437581,0.055123124,0.040507194,0.041399341,0.049918223,0.047604933,0.240795687,0.279498339,0.359531254,0.353675753,0.383259594,0.39374581
0.105739534,0.045544848,0.036339257,0.028740888,0.040699173,0.039535027,0.262113959,0.2940135,0.383914143,0.397568315,0.40756765,0.526198268
0.097666472,0.042230763,0.026417317,0.030669816,0.034840956,0.035378765,0.278291047,0.357450664,0.391284674,0.380853802,0.433422029,0.528176665
