,IXT NODROP,IXT CONV10,IXT MAX10,IXT FLAT10,IXT DENSE10,,IXT CONV20,IXT MAX20,IXT FLAT20,IXT DENSE20,,IXT CONV30,IXT MAX30,IXT FLAT30,IXT DENSE30,,IXT CONV50,IXT MAX50,IXT FLAT50,IXT DENSE50
0,,3.318075796,3.311420331,3.314187522,3.316681946,,3.314759158,3.307519269,3.315666932,3.317757639,,3.315540057,3.3178578,3.316756258,3.318171216,,3.317108517,3.311981319,3.31472411,3.317062107
1,,3.317393918,3.318641786,3.317225158,3.314678875,,3.316503247,3.317488067,3.315256199,3.316338283,,3.316175195,3.316756212,3.316417353,3.315369539,,3.317577483,3.317412946,3.316017366,3.316262222
2,,3.317478612,3.315800769,3.315157787,3.317264554,,3.316418605,3.316043458,3.316408028,3.31736201,,3.316748243,3.31683777,3.315034248,3.318069474,,3.31644413,3.317606094,3.31719515,3.316657274
3,,3.316260809,3.318164445,3.317402631,3.31470651,,3.316352901,3.317548164,3.315312839,3.317811518,,3.316729358,3.317537546,3.315510171,3.315424695,,3.317075475,3.31660553,3.315934231,3.316760161
4,,3.316092999,3.316874484,3.316770369,3.317433596,,3.316421395,3.316777938,3.318900599,3.316770874,,3.314960765,3.316198022,3.31682825,3.316109219,,3.316500796,3.315598548,3.316727214,3.317467589
5,,3.316277165,3.316614383,3.315962872,3.315481229,,3.316588749,3.316847687,3.317997636,3.315217532,,3.316194063,3.316768458,3.315672634,3.317080069,,3.3165256,3.316387381,3.316395101,3.317360155
6,,3.317558348,3.31652009,3.317444341,3.317308893,,3.315152199,3.315428999,3.316970491,3.315437273,,3.316834819,3.316089911,3.315952993,3.315655136,,3.315730364,3.316115192,3.315806108,3.317062379
7,,3.316572029,3.316992425,3.31753849,3.315947414,,3.316759846,3.317028065,3.314970218,3.315987238,,3.3157345,3.316905862,3.316388622,3.316015089,,3.316770201,3.316383861,3.316638881,3.315657558
8,,3.316826573,3.316786197,3.317037093,3.316655642,,3.316682665,3.315506943,3.316801394,3.317090987,,3.316799556,3.317155725,3.316241443,3.316677061,,3.315888717,3.315767704,3.316572565,3.317682884
9,,3.316213131,3.316672351,3.316741265,3.316831282,,3.316883435,3.316492739,3.316492739,3.316852924,,3.316248371,3.316245378,3.317996704,3.316605624,,3.316676737,3.316017106,3.316242617,3.316953429
10,,3.316365868,3.316476881,3.31665573,3.316363491,,3.316587043,3.316264597,3.317347064,3.317128561,,3.316852924,3.31659938,3.316999041,3.316852924,,3.317642882,3.316476881,3.316851156,3.317212832
11,,3.316786197,3.316852924,3.317373415,3.316633002,,3.316567413,3.316114889,3.316769913,3.316619595,,3.31708495,3.316635913,3.316826573,3.316826573,,3.316492739,3.316350623,3.316911125,3.316547938
12,,3.316652501,3.317616542,3.316714248,3.316547694,,3.317080069,3.316786197,3.317005661,3.317019019,,3.316852924,3.316826573,3.316852924,3.316773865,,3.316786197,3.316675074,3.317541627,3.316826573
13,,3.316852924,3.316875121,3.316852924,3.316852924,,3.316966299,3.316852924,3.316966299,3.318048847,,3.316546442,3.316909787,3.316786197,3.316759846,,3.316492739,3.316492739,3.31658954,3.316447393
14,,3.316965583,3.316852924,3.316852924,3.316852924,,3.31695101,3.316691702,3.317340737,3.316826573,,3.316852924,3.316672351,3.316852924,3.316879519,,3.316164625,3.316826573,3.316633002,3.316519614
15,,3.316852924,3.316852924,3.316546442,3.31692436,,3.316852924,3.316852924,3.316852924,3.316767616,,3.316852924,3.316852924,3.316852924,3.316682082,,3.316519091,3.317159638,3.316852924,3.31621446
16,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316786197,3.316726782,3.316852924,,3.317092494,3.31699265,3.316852924,3.316852924,,3.316852924,3.317710648,3.316852924,3.316826573
17,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316799731,3.317214702,3.316462539,3.31665573
18,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316826573,,3.316852924,3.316852924,3.317128561,3.316852924,,3.316852924,3.316852924,3.316786197,3.316852924
19,,3.316852924,3.316879519,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.317057126,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316665107
20,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.31710642,3.316852924,3.316852924,3.316852924,,3.316742988,3.316852924,3.316852924,3.316852924
21,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316879519,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
22,,3.316852924,3.316852924,3.316546442,3.316852924,,3.316852924,3.316852924,3.316852924,3.317128561,,3.316852924,3.316826573,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
23,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.31708169
24,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316786197,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
25,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
26,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316826573
27,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316909787,3.316692458
28,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
29,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
30,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316826573,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
31,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316912734
32,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.31663175,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
33,,3.316798218,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.317128561,,3.316852924,3.316852924,3.316852924,3.316852924
34,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316682082,,3.316852924,3.316852924,3.316852924,3.316852924
35,,3.316852924,3.316852924,3.316519091,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
