,IYT NODROP,IYT CONV10,IYT MAX10,IYT FLAT10,IYT DENSE10,,IYT CONV20,IYT MAX20,IYT FLAT20,IYT DENSE20,,IYT CONV30,IYT MAX30,IYT FLAT30,IYT DENSE30,,IYT CONV50,IYT MAX50,IYT FLAT50,IYT DENSE50
0,,2.906495669,2.93604692,2.969897559,2.912264006,,2.956962466,2.806203427,2.996817239,3.058913949,,3.030715749,2.992696471,2.971953852,2.986919641,,3.039354581,2.937267426,3.010001375,2.981468327
1,,3.179735138,3.100640206,3.103337601,3.111898522,,3.115282294,3.0566957,3.029918468,3.120859284,,3.10871056,3.139151907,3.116746817,3.113351865,,3.104597139,3.038675229,3.143030177,3.143084526
2,,3.162002633,3.16082775,3.185699414,3.134525664,,3.163517442,3.171315685,3.14908361,3.202159182,,3.159547148,3.19790626,3.136659558,3.161239732,,3.161370175,3.150104953,3.121664912,3.137500813
3,,3.166629104,3.16323216,3.180113942,3.080031178,,3.18154504,3.19019341,3.177007398,3.181968202,,3.185650135,3.155592513,3.160490568,3.165613538,,3.206121592,3.197669144,3.173001288,3.195600523
4,,3.248078779,3.199726281,3.252096508,3.18816087,,3.228134836,3.213687496,3.161149507,3.229915606,,3.19911052,3.173400026,3.219995207,3.211507581,,3.229977953,3.197550619,3.181624835,3.172137957
5,,3.244112011,3.254478057,3.252001308,3.243466262,,3.209546589,3.236051707,3.209582003,3.203216641,,3.227349711,3.244136268,3.191021041,3.276701491,,3.229884194,3.219943028,3.227989928,3.208384035
6,,3.260794661,3.276012666,3.258963187,3.292897593,,3.220805446,3.253450568,3.236174512,3.245297338,,3.260305882,3.215180358,3.229075388,3.221336228,,3.224668534,3.251997508,3.227271408,3.230346368
7,,3.292534639,3.300570706,3.26850635,3.276199467,,3.300712039,3.254094498,3.222709105,3.259857422,,3.284051293,3.284691073,3.2436701,3.269923523,,3.238315785,3.260128873,3.228013019,3.245556198
8,,3.308622332,3.308942631,3.301016128,3.262329651,,3.256357663,3.267596318,3.284340074,3.270903663,,3.292534271,3.228180475,3.276295947,3.243452261,,3.267682283,3.259571687,3.276591258,3.278756707
9,,3.292254806,3.308622332,3.294254806,3.292647298,,3.292352135,3.300444932,3.300444932,3.316852924,,3.268029919,3.267669299,3.208667997,3.300712039,,3.284368153,3.252012081,3.2843184,3.26235621
10,,3.300472283,3.300378741,3.292366708,3.292628794,,3.300472283,3.292254049,3.294884477,3.300774908,,3.316852924,3.29256199,3.300617401,3.316852924,,3.254946649,3.292328722,3.268410094,3.278689202
11,,3.308942631,3.316852924,3.30311507,3.288725269,,3.29412227,3.300444932,3.292814972,3.278390659,,3.293034325,3.284360688,3.308622332,3.308622332,,3.300444932,3.276220802,3.276444924,3.277808432
12,,3.296916152,3.289911318,3.2926017,3.292228693,,3.300712039,3.308942631,3.308788184,3.300597301,,3.316852924,3.308622332,3.308635447,3.302378741,,3.308942631,3.292228693,3.278753538,3.308622332
13,,3.316852924,3.286675197,3.316852924,3.316852924,,3.300712039,3.316852924,3.300712039,3.264990884,,3.308702876,3.308773611,3.308942631,3.300712039,,3.300444932,3.300444932,3.292314001,3.300539087
14,,3.308788184,3.316852924,3.316852924,3.316852924,,3.308773611,3.300484642,3.286971015,3.302404854,,3.316852924,3.308622332,3.316852924,3.308662041,,3.280326024,3.308622332,3.300378741,3.300404854
15,,3.316852924,3.316852924,3.308702876,3.308788184,,3.316852924,3.316852924,3.316852924,3.308702876,,3.308635447,3.316852924,3.316852924,3.308788184,,3.308675525,3.292697052,3.308635447,3.286149379
16,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.308942631,3.308662041,3.316852924,,3.294615129,3.308942631,3.316852924,3.316852924,,3.316852924,3.278922559,3.316852924,3.308622332
17,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.308622332,3.292848331,3.300792583,3.300557591
18,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.308622332,,3.316852924,3.316852924,3.308992385,3.316852924,,3.316852924,3.316852924,3.308942631,3.316852924
19,,3.316852924,3.308662041,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.308635447,,3.308992385,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.308675525
20,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.308942631,3.316852924,3.316852924,3.316852924,,3.292641076,3.316852924,3.316852924,3.316852924
21,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.308662041,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
22,,3.316852924,3.316852924,3.308702876,3.316852924,,3.316852924,3.316852924,3.316852924,3.308992385,,3.316852924,3.308622332,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
23,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.284994281
24,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.308942631,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
25,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
26,,3.316852924,3.316852924,3.308635447,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.308622332
