1 Conv. Training,2 Conv. Training,3 Conv. Training,4 Conv. Training,5 Conv. Training,6 Conv. Training,1 Conv. Validation,2 Conv. Validation,3 Conv. Validation,4 Conv. Validation,5 Conv. Validation,6 Conv. Validation
0.746233344,0.74453336,0.701550007,0.667066693,0.646716654,0.66048336,0.788800061,0.82130003,0.742000043,0.789300025,0.771900058,0.772900045
0.844600022,0.851233363,0.828000009,0.805566669,0.79065001,0.7964167,0.861600041,0.873200059,0.844800055,0.826900065,0.836400032,0.799000025
0.868799984,0.876349986,0.864333332,0.850983322,0.834283352,0.837266684,0.863900065,0.856700063,0.861000061,0.853700042,0.825400054,0.845700026
0.884216666,0.89076668,0.881533325,0.870266676,0.862416685,0.862066686,0.889600039,0.879100025,0.889000058,0.844100058,0.869200051,0.855600059
0.895116687,0.902050018,0.893450022,0.888266683,0.877683342,0.880050004,0.894600034,0.89410007,0.879900038,0.880800068,0.882300019,0.878000021
0.904049993,0.911949992,0.90625,0.902266681,0.891116679,0.894033372,0.897700071,0.90230006,0.891900063,0.891500056,0.895800054,0.880200028
0.911483347,0.920033336,0.914250016,0.913600028,0.903616667,0.901533365,0.899500072,0.889300048,0.909500062,0.906200051,0.871800065,0.881700039
0.916549981,0.927399993,0.924533367,0.922183335,0.911633372,0.911766648,0.900100052,0.894900024,0.908000052,0.894600034,0.879400015,0.901000023
0.921466649,0.934966683,0.931083322,0.931150019,0.920966685,0.919716656,0.899700046,0.914900064,0.912200034,0.914700031,0.890800059,0.904700041
0.92566669,0.941816688,0.940583348,0.941383362,0.927600026,0.929683328,0.90320003,0.905800045,0.883400023,0.910400033,0.900800049,0.906800032
0.930999994,0.948016703,0.946683347,0.946950018,0.937150002,0.936049998,0.900900066,0.914800048,0.910000026,0.904000044,0.888500035,0.911300063
0.937266648,0.953383327,0.953683317,0.95539999,0.943149984,0.944100022,0.911900043,0.913900018,0.905100048,0.905100048,0.906900048,0.899600029
0.940383315,0.958333373,0.960133374,0.961099982,0.950399995,0.951966703,0.908900023,0.917700052,0.920700073,0.916100025,0.905000031,0.897100031
0.942449987,0.963116705,0.965666652,0.969916701,0.957400024,0.958216667,0.895300031,0.916200042,0.91960007,0.918200016,0.905900061,0.910200059
0.947700024,0.967283368,0.970733345,0.974466681,0.964250028,0.964966655,0.908900023,0.921600044,0.903400064,0.921800017,0.916600049,0.909900069
0.94933337,0.972016692,0.976483345,0.977616668,0.970683336,0.971750021,0.916700065,0.914600015,0.918200016,0.916800022,0.904300034,0.900500059
0.954133332,0.975016654,0.979766667,0.983966649,0.975966692,0.976249993,0.905000031,0.917700052,0.916000068,0.914800048,0.911000073,0.893100023
0.954433322,0.978533328,0.984183371,0.986283362,0.97998333,0.979449987,0.917900026,0.922600031,0.925700068,0.915600061,0.907200038,0.91230005
0.95965004,0.980733335,0.986699998,0.986483335,0.982550025,0.983550012,0.920100033,0.92020005,0.919800043,0.91960007,0.907300055,0.908000052
0.962033331,0.985233366,0.988350034,0.99120003,0.986533344,0.986666679,0.913300037,0.922800064,0.918800056,0.918300033,0.91170007,0.895700037
0.964566648,0.986100018,0.990966678,0.990700006,0.98846668,0.988350034,0.908300042,0.914700031,0.923800051,0.918500066,0.917900026,0.89470005
0.967283368,0.987116694,0.99180001,0.993266702,0.987666667,0.99088335,0.907700062,0.921300054,0.920400023,0.922000051,0.909400046,0.910300016
0.969099998,0.99000001,0.993166685,0.994033337,0.994383335,0.99000001,0.902200043,0.915200055,0.925400019,0.91900003,0.915600061,0.906400025
0.970666707,0.990150034,0.993650019,0.994883358,0.989650011,0.993000031,0.915600061,0.923000038,0.926200032,0.918800056,0.913200021,0.910700023
0.972450018,0.992449999,0.994683325,0.994416654,0.995016694,0.991299987,0.924200058,0.922400057,0.926100016,0.916100025,0.913200021,0.910400033
0.975566685,0.991966665,0.993466675,0.996483326,0.990350008,0.990416706,0.911800027,0.921300054,0.924800038,0.917000055,0.914000034,0.910600066
0.977816701,0.994583368,0.995400012,0.993666649,0.997216702,0.995500028,0.916200042,0.920300066,0.925200045,0.92170006,0.909900069,0.912700057
0.978183329,0.993750036,0.995433331,0.997633338,0.991299987,0.992666662,0.918500066,0.923100054,0.924000025,0.92170006,0.914000034,0.886700034
0.980250001,0.995299995,0.99786669,0.997066677,0.995933354,0.995850027,0.917900026,0.923300028,0.878100038,0.91930002,0.915800035,0.905700028
0.982416689,0.99603337,0.994466662,0.996483326,0.993966699,0.993683338,0.920400023,0.902200043,0.925500035,0.916900039,0.912800014,0.911900043
0.983633339,0.99545002,0.996916652,0.995350003,0.996516705,0.996066689,0.92020005,0.910900056,0.910700023,0.920000017,0.915300071,0.908800066
0.983583331,0.997033358,0.997500002,0.995983362,0.996833324,0.990966678,0.922300041,0.925400019,0.923900068,0.919500053,0.900000036,0.911600053
0.986366689,0.996166706,0.996816695,0.997316658,0.995183349,0.995966673,0.908100069,0.923400044,0.924600065,0.922000051,0.914900064,0.910300016
0.98605001,0.99726665,0.997133374,0.997733355,0.996416688,0.996566653,0.911500037,0.907200038,0.926100016,0.917300045,0.919100046,0.914000034
0.987783372,0.997166693,0.997600019,0.996550024,0.995416701,0.99788332,0.913900018,0.917100072,0.924800038,0.921300054,0.91930002,0.912700057
0.988666654,0.997133374,0.997449994,0.996433318,0.99605,0.994966686,0.923300028,0.915600061,0.924300015,0.922900021,0.917300045,0.902100027
0.988833368,0.995900035,0.996800005,0.994949996,0.995433331,0.993283331,0.92110002,0.92170006,0.925200045,0.920000017,0.914600015,0.911600053
0.990366697,0.997150004,0.997483373,0.997900009,0.997316658,0.996816695,0.920600057,0.924300015,0.912100017,0.922000051,0.918200016,0.911800027
0.989533365,0.997683346,0.997783363,0.995850027,0.995533347,0.997733355,0.919200063,0.922700047,0.909300029,0.920400023,0.916500032,0.885800064
0.99150002,0.99665004,0.999599993,0.997099996,0.996200025,0.994566679,0.921300054,0.917300045,0.926300049,0.920400023,0.912500024,0.910000026
